"Experiment","Phase","Subject","Cue","CondType","Trials","Rating"
"Experiment 1","Phase 1","10","v","negative",1,20
"Experiment 1","Phase 1","11","v","negative",1,-10
"Experiment 1","Phase 1","12","v","negative",1,-30.5
"Experiment 1","Phase 1","13","v","negative",1,11.5
"Experiment 1","Phase 1","14","v","negative",1,-35
"Experiment 1","Phase 1","15","v","negative",1,-5.5
"Experiment 1","Phase 1","16","v","negative",1,20
"Experiment 1","Phase 1","17","v","negative",1,-19.5
"Experiment 1","Phase 1","18","v","negative",1,0
"Experiment 1","Phase 1","19","v","negative",1,67
"Experiment 1","Phase 1","20","v","negative",1,-50
"Experiment 1","Phase 1","21","v","negative",1,100
"Experiment 1","Phase 1","22","v","negative",1,-88.5
"Experiment 1","Phase 1","23","v","negative",1,-50
"Experiment 1","Phase 1","24","v","negative",1,25
"Experiment 1","Phase 1","25","v","negative",1,-60
"Experiment 1","Phase 1","26","v","negative",1,-40
"Experiment 1","Phase 1","27","v","negative",1,-31
"Experiment 1","Phase 1","28","v","negative",1,-29.5
"Experiment 1","Phase 1","29","v","negative",1,-40
"Experiment 1","Phase 1","30","v","negative",1,15
"Experiment 1","Phase 1","31","v","negative",1,-42.5
"Experiment 1","Phase 1","32","v","negative",1,39
"Experiment 1","Phase 1","33","v","negative",1,28
"Experiment 1","Phase 1","34","v","negative",1,12
"Experiment 1","Phase 1","35","v","negative",1,-1
"Experiment 1","Phase 1","36","v","negative",1,59.5
"Experiment 1","Phase 1","37","v","negative",1,0
"Experiment 1","Phase 1","38","v","negative",1,-20
"Experiment 1","Phase 1","39","v","negative",1,-30
"Experiment 1","Phase 1","40","v","negative",1,10
"Experiment 1","Phase 1","41","v","negative",1,-37
"Experiment 1","Phase 1","42","v","negative",1,-16
"Experiment 1","Phase 1","43","v","negative",1,-10
"Experiment 1","Phase 1","44","v","negative",1,-20
"Experiment 1","Phase 1","45","v","negative",1,-73
"Experiment 1","Phase 1","46","v","negative",1,0.5
"Experiment 1","Phase 1","47","v","negative",1,-77
"Experiment 2","Phase 1","1","n","negative",1,-53
"Experiment 2","Phase 1","2","n","negative",1,-50
"Experiment 2","Phase 1","3","n","negative",1,-44
"Experiment 2","Phase 1","4","n","negative",1,-82
"Experiment 2","Phase 1","5","n","negative",1,-20
"Experiment 2","Phase 1","6","n","negative",1,-43
"Experiment 2","Phase 1","7","n","negative",1,-7
"Experiment 2","Phase 1","8","n","negative",1,22
"Experiment 2","Phase 1","9","n","negative",1,-58
"Experiment 2","Phase 1","10","n","negative",1,-68
"Experiment 2","Phase 1","11","n","negative",1,-46
"Experiment 2","Phase 1","12","n","negative",1,-16
"Experiment 2","Phase 1","13","n","negative",1,-47
"Experiment 2","Phase 1","14","n","negative",1,-56
"Experiment 2","Phase 1","15","n","negative",1,-48
"Experiment 2","Phase 1","16","n","negative",1,11
"Experiment 2","Phase 1","17","n","negative",1,-56
"Experiment 2","Phase 1","18","n","negative",1,-20
"Experiment 2","Phase 1","19","n","negative",1,-20
"Experiment 2","Phase 1","20","n","negative",1,-60
"Experiment 2","Phase 1","21","n","negative",1,28
"Experiment 2","Phase 1","22","n","negative",1,-60
"Experiment 2","Phase 1","23","n","negative",1,16
"Experiment 2","Phase 1","24","n","negative",1,-31
"Experiment 2","Phase 1","25","n","negative",1,-43
"Experiment 2","Phase 1","26","n","negative",1,-38
"Experiment 2","Phase 1","27","n","negative",1,-15
"Experiment 2","Phase 1","28","n","negative",1,-20
"Experiment 2","Phase 1","29","n","negative",1,-33
"Experiment 2","Phase 1","30","n","negative",1,-47
"Experiment 2","Phase 1","31","n","negative",1,0
"Experiment 2","Phase 1","32","n","negative",1,-73
"Experiment 2","Phase 1","33","n","negative",1,-40
"Experiment 2","Phase 1","34","n","negative",1,12
"Experiment 2","Phase 1","1","p","positive",1,-36
"Experiment 2","Phase 1","2","p","positive",1,30
"Experiment 2","Phase 1","3","p","positive",1,20
"Experiment 2","Phase 1","4","p","positive",1,40
"Experiment 2","Phase 1","5","p","positive",1,60
"Experiment 2","Phase 1","6","p","positive",1,51
"Experiment 2","Phase 1","7","p","positive",1,22
"Experiment 2","Phase 1","8","p","positive",1,-11
"Experiment 2","Phase 1","9","p","positive",1,24
"Experiment 2","Phase 1","10","p","positive",1,80
"Experiment 2","Phase 1","11","p","positive",1,100
"Experiment 2","Phase 1","12","p","positive",1,18
"Experiment 2","Phase 1","13","p","positive",1,100
"Experiment 2","Phase 1","14","p","positive",1,-35
"Experiment 2","Phase 1","15","p","positive",1,-16
"Experiment 2","Phase 1","16","p","positive",1,-68
"Experiment 2","Phase 1","17","p","positive",1,58
"Experiment 2","Phase 1","18","p","positive",1,-40
"Experiment 2","Phase 1","19","p","positive",1,75
"Experiment 2","Phase 1","20","p","positive",1,40
"Experiment 2","Phase 1","21","p","positive",1,47
"Experiment 2","Phase 1","22","p","positive",1,60
"Experiment 2","Phase 1","23","p","positive",1,59
"Experiment 2","Phase 1","24","p","positive",1,-1
"Experiment 2","Phase 1","25","p","positive",1,100
"Experiment 2","Phase 1","26","p","positive",1,22
"Experiment 2","Phase 1","27","p","positive",1,11
"Experiment 2","Phase 1","28","p","positive",1,20
"Experiment 2","Phase 1","29","p","positive",1,20
"Experiment 2","Phase 1","30","p","positive",1,51
"Experiment 2","Phase 1","31","p","positive",1,20
"Experiment 2","Phase 1","32","p","positive",1,69
"Experiment 2","Phase 1","33","p","positive",1,60
"Experiment 2","Phase 1","34","p","positive",1,53
"Experiment 2","Phase 1","1","u","positive",1,-61
"Experiment 2","Phase 1","2","u","positive",1,5
"Experiment 2","Phase 1","3","u","positive",1,30
"Experiment 2","Phase 1","4","u","positive",1,73.5
"Experiment 2","Phase 1","5","u","positive",1,20
"Experiment 2","Phase 1","6","u","positive",1,25.5
"Experiment 2","Phase 1","7","u","positive",1,2.5
"Experiment 2","Phase 1","8","u","positive",1,-23
"Experiment 2","Phase 1","9","u","positive",1,33
"Experiment 2","Phase 1","10","u","positive",1,50
"Experiment 2","Phase 1","11","u","positive",1,58
"Experiment 2","Phase 1","12","u","positive",1,29.5
"Experiment 2","Phase 1","13","u","positive",1,29.5
"Experiment 2","Phase 1","14","u","positive",1,-18.5
"Experiment 2","Phase 1","15","u","positive",1,-13
"Experiment 2","Phase 1","16","u","positive",1,-65.5
"Experiment 2","Phase 1","17","u","positive",1,0.5
"Experiment 2","Phase 1","18","u","positive",1,-40
"Experiment 2","Phase 1","19","u","positive",1,-2.5
"Experiment 2","Phase 1","20","u","positive",1,50
"Experiment 2","Phase 1","21","u","positive",1,70.5
"Experiment 2","Phase 1","22","u","positive",1,20
"Experiment 2","Phase 1","23","u","positive",1,23.5
"Experiment 2","Phase 1","24","u","positive",1,9.5
"Experiment 2","Phase 1","25","u","positive",1,0
"Experiment 2","Phase 1","26","u","positive",1,30
"Experiment 2","Phase 1","27","u","positive",1,5
"Experiment 2","Phase 1","28","u","positive",1,20
"Experiment 2","Phase 1","29","u","positive",1,-8
"Experiment 2","Phase 1","30","u","positive",1,-11
"Experiment 2","Phase 1","31","u","positive",1,0
"Experiment 2","Phase 1","32","u","positive",1,40
"Experiment 2","Phase 1","33","u","positive",1,13
"Experiment 2","Phase 1","34","u","positive",1,-41.5
"Experiment 2","Phase 1","1","v","negative",1,-54
"Experiment 2","Phase 1","2","v","negative",1,100
"Experiment 2","Phase 1","3","v","negative",1,40
"Experiment 2","Phase 1","4","v","negative",1,-100
"Experiment 2","Phase 1","5","v","negative",1,-60
"Experiment 2","Phase 1","6","v","negative",1,-100
"Experiment 2","Phase 1","7","v","negative",1,-29
"Experiment 2","Phase 1","8","v","negative",1,-39
"Experiment 2","Phase 1","9","v","negative",1,-39
"Experiment 2","Phase 1","10","v","negative",1,-60
"Experiment 2","Phase 1","11","v","negative",1,-20
"Experiment 2","Phase 1","12","v","negative",1,23
"Experiment 2","Phase 1","13","v","negative",1,-53
"Experiment 2","Phase 1","14","v","negative",1,-53
"Experiment 2","Phase 1","15","v","negative",1,-50
"Experiment 2","Phase 1","16","v","negative",1,-28
"Experiment 2","Phase 1","17","v","negative",1,-65
"Experiment 2","Phase 1","18","v","negative",1,-20
"Experiment 2","Phase 1","19","v","negative",1,52
"Experiment 2","Phase 1","20","v","negative",1,-40
"Experiment 2","Phase 1","21","v","negative",1,-46
"Experiment 2","Phase 1","22","v","negative",1,-100
"Experiment 2","Phase 1","23","v","negative",1,-46
"Experiment 2","Phase 1","24","v","negative",1,-50
"Experiment 2","Phase 1","25","v","negative",1,-100
"Experiment 2","Phase 1","26","v","negative",1,20
"Experiment 2","Phase 1","27","v","negative",1,-26
"Experiment 2","Phase 1","28","v","negative",1,-20
"Experiment 2","Phase 1","29","v","negative",1,-20
"Experiment 2","Phase 1","30","v","negative",1,-47
"Experiment 2","Phase 1","31","v","negative",1,40
"Experiment 2","Phase 1","32","v","negative",1,-60
"Experiment 2","Phase 1","33","v","negative",1,-80
"Experiment 2","Phase 1","34","v","negative",1,-62
"Experiment 1","Phase 1","1","n","negative",2,0
"Experiment 1","Phase 1","2","n","negative",2,-47
"Experiment 1","Phase 1","3","n","negative",2,-37
"Experiment 1","Phase 1","4","n","negative",2,0
"Experiment 1","Phase 1","5","n","negative",2,-52
"Experiment 1","Phase 1","6","n","negative",2,-20
"Experiment 1","Phase 1","7","n","negative",2,-100
"Experiment 1","Phase 1","8","n","negative",2,-49
"Experiment 1","Phase 1","9","n","negative",2,-48
"Experiment 1","Phase 1","10","n","negative",2,-80
"Experiment 1","Phase 1","11","n","negative",2,20
"Experiment 1","Phase 1","12","n","negative",2,-40
"Experiment 1","Phase 1","13","n","negative",2,-47
"Experiment 1","Phase 1","14","n","negative",2,-37
"Experiment 1","Phase 1","15","n","negative",2,-45
"Experiment 1","Phase 1","16","n","negative",2,-40
"Experiment 1","Phase 1","17","n","negative",2,-34
"Experiment 1","Phase 1","18","n","negative",2,-100
"Experiment 1","Phase 1","19","n","negative",2,-84
"Experiment 1","Phase 1","20","n","negative",2,-49
"Experiment 1","Phase 1","21","n","negative",2,100
"Experiment 1","Phase 1","22","n","negative",2,42
"Experiment 1","Phase 1","23","n","negative",2,-100
"Experiment 1","Phase 1","24","n","negative",2,-100
"Experiment 1","Phase 1","25","n","negative",2,-71
"Experiment 1","Phase 1","26","n","negative",2,-40
"Experiment 1","Phase 1","27","n","negative",2,20
"Experiment 1","Phase 1","28","n","negative",2,-55
"Experiment 1","Phase 1","29","n","negative",2,13
"Experiment 1","Phase 1","30","n","negative",2,18
"Experiment 1","Phase 1","31","n","negative",2,-68
"Experiment 1","Phase 1","32","n","negative",2,-24
"Experiment 1","Phase 1","33","n","negative",2,-42
"Experiment 1","Phase 1","34","n","negative",2,-31
"Experiment 1","Phase 1","35","n","negative",2,0
"Experiment 1","Phase 1","36","n","negative",2,-51
"Experiment 1","Phase 1","37","n","negative",2,-40
"Experiment 1","Phase 1","38","n","negative",2,-34
"Experiment 1","Phase 1","39","n","negative",2,-100
"Experiment 1","Phase 1","40","n","negative",2,-100
"Experiment 1","Phase 1","41","n","negative",2,-49
"Experiment 1","Phase 1","42","n","negative",2,-66
"Experiment 1","Phase 1","43","n","negative",2,-60
"Experiment 1","Phase 1","44","n","negative",2,-60
"Experiment 1","Phase 1","45","n","negative",2,-84
"Experiment 1","Phase 1","46","n","negative",2,18
"Experiment 1","Phase 1","47","n","negative",2,-52
"Experiment 1","Phase 1","1","p","positive",2,78
"Experiment 1","Phase 1","2","p","positive",2,0
"Experiment 1","Phase 1","3","p","positive",2,100
"Experiment 1","Phase 1","4","p","positive",2,49
"Experiment 1","Phase 1","5","p","positive",2,88
"Experiment 1","Phase 1","6","p","positive",2,40
"Experiment 1","Phase 1","7","p","positive",2,100
"Experiment 1","Phase 1","8","p","positive",2,46
"Experiment 1","Phase 1","9","p","positive",2,30
"Experiment 1","Phase 1","10","p","positive",2,60
"Experiment 1","Phase 1","11","p","positive",2,40
"Experiment 1","Phase 1","12","p","positive",2,30
"Experiment 1","Phase 1","13","p","positive",2,76
"Experiment 1","Phase 1","14","p","positive",2,53
"Experiment 1","Phase 1","15","p","positive",2,23
"Experiment 1","Phase 1","16","p","positive",2,40
"Experiment 1","Phase 1","17","p","positive",2,-20
"Experiment 1","Phase 1","18","p","positive",2,60
"Experiment 1","Phase 1","19","p","positive",2,61
"Experiment 1","Phase 1","20","p","positive",2,95
"Experiment 1","Phase 1","21","p","positive",2,100
"Experiment 1","Phase 1","22","p","positive",2,100
"Experiment 1","Phase 1","23","p","positive",2,0
"Experiment 1","Phase 1","24","p","positive",2,100
"Experiment 1","Phase 1","25","p","positive",2,62
"Experiment 1","Phase 1","26","p","positive",2,60
"Experiment 1","Phase 1","27","p","positive",2,16
"Experiment 1","Phase 1","28","p","positive",2,55
"Experiment 1","Phase 1","29","p","positive",2,34
"Experiment 1","Phase 1","30","p","positive",2,81
"Experiment 1","Phase 1","31","p","positive",2,61
"Experiment 1","Phase 1","32","p","positive",2,26
"Experiment 1","Phase 1","33","p","positive",2,0
"Experiment 1","Phase 1","34","p","positive",2,62
"Experiment 1","Phase 1","35","p","positive",2,40
"Experiment 1","Phase 1","36","p","positive",2,77
"Experiment 1","Phase 1","37","p","positive",2,0
"Experiment 1","Phase 1","38","p","positive",2,40
"Experiment 1","Phase 1","39","p","positive",2,90
"Experiment 1","Phase 1","40","p","positive",2,60
"Experiment 1","Phase 1","41","p","positive",2,-69
"Experiment 1","Phase 1","42","p","positive",2,40
"Experiment 1","Phase 1","43","p","positive",2,-60
"Experiment 1","Phase 1","44","p","positive",2,80
"Experiment 1","Phase 1","45","p","positive",2,47
"Experiment 1","Phase 1","46","p","positive",2,18
"Experiment 1","Phase 1","47","p","positive",2,100
"Experiment 1","Phase 1","1","u","positive",2,50
"Experiment 1","Phase 1","2","u","positive",2,28.5
"Experiment 1","Phase 1","3","u","positive",2,26
"Experiment 1","Phase 1","4","u","positive",2,50
"Experiment 1","Phase 1","5","u","positive",2,32
"Experiment 1","Phase 1","6","u","positive",2,1
"Experiment 1","Phase 1","7","u","positive",2,100
"Experiment 1","Phase 1","8","u","positive",2,23.5
"Experiment 1","Phase 1","9","u","positive",2,15.5
"Experiment 1","Phase 1","10","u","positive",2,20
"Experiment 1","Phase 1","11","u","positive",2,10
"Experiment 1","Phase 1","12","u","positive",2,0
"Experiment 1","Phase 1","13","u","positive",2,39
"Experiment 1","Phase 1","14","u","positive",2,9
"Experiment 1","Phase 1","15","u","positive",2,23
"Experiment 1","Phase 1","16","u","positive",2,40
"Experiment 1","Phase 1","17","u","positive",2,38.5
"Experiment 1","Phase 1","18","u","positive",2,60
"Experiment 1","Phase 1","19","u","positive",2,56.5
"Experiment 1","Phase 1","20","u","positive",2,65.5
"Experiment 1","Phase 1","21","u","positive",2,100
"Experiment 1","Phase 1","22","u","positive",2,26
"Experiment 1","Phase 1","23","u","positive",2,50
"Experiment 1","Phase 1","24","u","positive",2,75
"Experiment 1","Phase 1","25","u","positive",2,51
"Experiment 1","Phase 1","26","u","positive",2,-80
"Experiment 1","Phase 1","27","u","positive",2,44.5
"Experiment 1","Phase 1","28","u","positive",2,25.5
"Experiment 1","Phase 1","29","u","positive",2,70
"Experiment 1","Phase 1","30","u","positive",2,-10.5
"Experiment 1","Phase 1","31","u","positive",2,65.5
"Experiment 1","Phase 1","32","u","positive",2,3.5
"Experiment 1","Phase 1","33","u","positive",2,-2
"Experiment 1","Phase 1","34","u","positive",2,-5.5
"Experiment 1","Phase 1","35","u","positive",2,31
"Experiment 1","Phase 1","36","u","positive",2,-19.5
"Experiment 1","Phase 1","37","u","positive",2,-10
"Experiment 1","Phase 1","38","u","positive",2,23.5
"Experiment 1","Phase 1","39","u","positive",2,80
"Experiment 1","Phase 1","40","u","positive",2,70
"Experiment 1","Phase 1","41","u","positive",2,-54
"Experiment 1","Phase 1","42","u","positive",2,40
