"phase","parPri","parPub","trial","rat","phaseNum","nRating","stim","nRat","rat0comp","spq","excInh","ctrlType"
"ph1",5885009,"ptim4kfr",2,62,1,"ph1_1","E",1,62,127,"Inh","pre. (E & I)"
"ph1",5885009,"ptim4kfr",3,32,1,"ph1_2","E",2,32,127,"Inh","pre. (E & I)"
"ph1",5885009,"ptim4kfr",4,64,1,"ph1_2","I",2,-64,127,"Exc","pre. (E & I)"
"ph1",5885009,"ptim4kfr",5,56,1,"ph1_4","E",4,56,127,"Inh","pre. (E & I)"
"ph1",5885009,"ptim4kfr",6,46,1,"ph1_4","I",4,-46,127,"Exc","pre. (E & I)"
"ph1",5885009,"ptim4kfr",7,76,1,"ph1_8","I",8,-76,127,"Exc","pre. (E & I)"
"ph1",5885009,"ptim4kfr",8,0,1,"ph1_8","E",8,0,127,"Inh","pre. (E & I)"
"ph1",5885048,"jrmkibvd",1,0,1,"ph1_1","I",1,0,39,"Exc","pre. (E & I)"
"ph1",5885048,"jrmkibvd",2,-40,1,"ph1_1","E",1,-40,39,"Inh","pre. (E & I)"
"ph1",5885048,"jrmkibvd",3,8,1,"ph1_2","E",2,8,39,"Inh","pre. (E & I)"
"ph1",5885048,"jrmkibvd",4,-8,1,"ph1_2","I",2,8,39,"Exc","pre. (E & I)"
"ph1",5885048,"jrmkibvd",5,20,1,"ph1_4","E",4,20,39,"Inh","pre. (E & I)"
"ph1",5885048,"jrmkibvd",6,26,1,"ph1_4","I",4,-26,39,"Exc","pre. (E & I)"
"ph1",5885048,"jrmkibvd",7,44,1,"ph1_8","E",8,44,39,"Inh","pre. (E & I)"
"ph1",5885048,"jrmkibvd",8,-56,1,"ph1_8","I",8,56,39,"Exc","pre. (E & I)"
"ph1",5885099,"je5ajc56",1,76,1,"ph1_1","E",1,76,130,"Inh","pre. (E & I)"
"ph1",5885099,"je5ajc56",2,54,1,"ph1_1","I",1,-54,130,"Exc","pre. (E & I)"
"ph1",5885099,"je5ajc56",3,70,1,"ph1_2","I",2,-70,130,"Exc","pre. (E & I)"
"ph1",5885099,"je5ajc56",4,82,1,"ph1_2","E",2,82,130,"Inh","pre. (E & I)"
"ph1",5885099,"je5ajc56",5,62,1,"ph1_4","E",4,62,130,"Inh","pre. (E & I)"
"ph1",5885099,"je5ajc56",6,92,1,"ph1_4","I",4,-92,130,"Exc","pre. (E & I)"
"ph1",5885099,"je5ajc56",7,74,1,"ph1_8","I",8,-74,130,"Exc","pre. (E & I)"
"ph1",5885099,"je5ajc56",8,68,1,"ph1_8","E",8,68,130,"Inh","pre. (E & I)"
"ph1",5885143,"iky3wou4",1,50,1,"ph1_1","I",1,-50,32,"Exc","pre. (E & I)"
"ph1",5885143,"iky3wou4",2,40,1,"ph1_1","E",1,40,32,"Inh","pre. (E & I)"
"ph1",5885143,"iky3wou4",3,-66,1,"ph1_2","I",2,66,32,"Exc","pre. (E & I)"
"ph1",5885143,"iky3wou4",4,64,1,"ph1_2","E",2,64,32,"Inh","pre. (E & I)"
"ph1",5885143,"iky3wou4",5,68,1,"ph1_4","E",4,68,32,"Inh","pre. (E & I)"
"ph1",5885143,"iky3wou4",6,-64,1,"ph1_4","I",4,64,32,"Exc","pre. (E & I)"
"ph1",5885143,"iky3wou4",7,88,1,"ph1_8","E",8,88,32,"Inh","pre. (E & I)"
"ph1",5885143,"iky3wou4",8,-88,1,"ph1_8","I",8,88,32,"Exc","pre. (E & I)"
"ph1",5885185,"09tg2hf1",1,-42,1,"ph1_1","E",1,-42,138,"Inh","pre. (E & I)"
"ph1",5885185,"09tg2hf1",2,62,1,"ph1_1","I",1,-62,138,"Exc","pre. (E & I)"
"ph1",5885185,"09tg2hf1",3,96,1,"ph1_2","E",2,96,138,"Inh","pre. (E & I)"
"ph1",5885185,"09tg2hf1",4,72,1,"ph1_2","I",2,-72,138,"Exc","pre. (E & I)"
"ph1",5885185,"09tg2hf1",5,74,1,"ph1_4","I",4,-74,138,"Exc","pre. (E & I)"
"ph1",5885185,"09tg2hf1",6,46,1,"ph1_4","E",4,46,138,"Inh","pre. (E & I)"
"ph1",5885185,"09tg2hf1",7,68,1,"ph1_8","I",8,-68,138,"Exc","pre. (E & I)"
"ph1",5885185,"09tg2hf1",8,72,1,"ph1_8","E",8,72,138,"Inh","pre. (E & I)"
"ph1",5885403,"xnhi58h9",1,92,1,"ph1_1","E",1,92,64,"Inh","pre. (E & I)"
"ph1",5885403,"xnhi58h9",2,86,1,"ph1_1","I",1,-86,64,"Exc","pre. (E & I)"
"ph1",5885403,"xnhi58h9",3,-4,1,"ph1_2","I",2,4,64,"Exc","pre. (E & I)"
"ph1",5885403,"xnhi58h9",4,52,1,"ph1_2","E",2,52,64,"Inh","pre. (E & I)"
"ph1",5885403,"xnhi58h9",5,-98,1,"ph1_4","I",4,98,64,"Exc","pre. (E & I)"
"ph1",5885403,"xnhi58h9",6,96,1,"ph1_4","E",4,96,64,"Inh","pre. (E & I)"
"ph1",5885403,"xnhi58h9",7,84,1,"ph1_8","E",8,84,64,"Inh","pre. (E & I)"
"ph1",5885403,"xnhi58h9",8,-84,1,"ph1_8","I",8,84,64,"Exc","pre. (E & I)"
"ph1",5885858,"gbf80j71",1,-20,1,"ph1_1","I",1,20,63,"Exc","pre. (E & I)"
"ph1",5885858,"gbf80j71",2,28,1,"ph1_1","E",1,28,63,"Inh","pre. (E & I)"
"ph1",5885858,"gbf80j71",3,-20,1,"ph1_2","I",2,20,63,"Exc","pre. (E & I)"
"ph1",5885858,"gbf80j71",4,42,1,"ph1_2","E",2,42,63,"Inh","pre. (E & I)"
"ph1",5885858,"gbf80j71",5,-34,1,"ph1_4","I",4,34,63,"Exc","pre. (E & I)"
"ph1",5885858,"gbf80j71",6,40,1,"ph1_4","E",4,40,63,"Inh","pre. (E & I)"
"ph1",5885858,"gbf80j71",7,10,1,"ph1_8","E",8,10,63,"Inh","pre. (E & I)"
"ph1",5885858,"gbf80j71",8,-26,1,"ph1_8","I",8,26,63,"Exc","pre. (E & I)"
"ph1",5885715,"fjeer7id",1,-46,1,"ph1_1","I",1,46,89,"Exc","pre. (E & I)"
"ph1",5885715,"fjeer7id",2,70,1,"ph1_1","E",1,70,89,"Inh","pre. (E & I)"
"ph1",5885715,"fjeer7id",3,-52,1,"ph1_2","I",2,52,89,"Exc","pre. (E & I)"
"ph1",5885715,"fjeer7id",4,78,1,"ph1_2","E",2,78,89,"Inh","pre. (E & I)"
"ph1",5885715,"fjeer7id",5,44,1,"ph1_4","E",4,44,89,"Inh","pre. (E & I)"
"ph1",5885715,"fjeer7id",6,-30,1,"ph1_4","I",4,30,89,"Exc","pre. (E & I)"
"ph1",5885715,"fjeer7id",7,44,1,"ph1_8","E",8,44,89,"Inh","pre. (E & I)"
"ph1",5885715,"fjeer7id",8,4,1,"ph1_8","I",8,-4,89,"Exc","pre. (E & I)"
"ph1",5885678,"8s6t0b82",1,4,1,"ph1_1","I",1,-4,93,"Exc","pre. (E & I)"
"ph1",5885678,"8s6t0b82",2,-100,1,"ph1_1","E",1,-100,93,"Inh","pre. (E & I)"
"ph1",5885678,"8s6t0b82",3,-100,1,"ph1_2","E",2,-100,93,"Inh","pre. (E & I)"
"ph1",5885678,"8s6t0b82",4,0,1,"ph1_2","I",2,0,93,"Exc","pre. (E & I)"
"ph1",5885678,"8s6t0b82",5,4,1,"ph1_4","I",4,-4,93,"Exc","pre. (E & I)"
"ph1",5885678,"8s6t0b82",6,-100,1,"ph1_4","E",4,-100,93,"Inh","pre. (E & I)"
"ph1",5885678,"8s6t0b82",7,-100,1,"ph1_8","E",8,-100,93,"Inh","pre. (E & I)"
"ph1",5885678,"8s6t0b82",8,-4,1,"ph1_8","I",8,4,93,"Exc","pre. (E & I)"
"ph1",5885503,"wtlurck6",1,62,1,"ph1_1","I",1,-62,72,"Exc","pre. (E & I)"
